	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_13606_0.txt	13606	0	3173.08823529	2378.94979079	2686.56363636	2691.71428571	2700.9625	2934.36971831	2521.95970696	2312.17391304	2414.38834951	2794.71052632	2748.47468354	2840.03703704	2691.07692308	2889.6	2574.84397163	2344.61837456	2757.71428571	2446.21292776	3004.40776699	3246.89820359	2706.83653846	2815.25	2821.65517241	3012.90406977	2519.17391304	2815.35460993	2699.01432665	2212.45756458	2355.60456274
alpha_rarefaction_13606_1.txt	13606	1	3021.28012048	2222.94117647	2747.11076923	2517.15384615	2702.6245614	2747.51485149	2639.92	2494.30973451	2530.98305085	2721.1519337	2759.43478261	2718.17263844	2549.12110727	2908.4	2680.2481203	2282.48507463	2848.74516129	2410.28458498	2818.6871345	3090.39044944	2614.81758958	2893.85173502	2731.16981132	3141.00923077	2662.7896679	2886.27969349	2829.66972477	2382.72284644	2593.12350598
alpha_rarefaction_13606_2.txt	13606	2	3133.09090909	2171.10035842	2817.29166667	2648.68773234	2884.37620579	2816.62626263	2401.33333333	2342.89516129	2659.96958175	2803.18852459	2668.77850163	2532.57575758	2560.12765957	2939.55517241	2606.10163934	2358.61111111	2857.41296928	2498.75384615	2725.14782609	2981.17919075	2868.8013245	2658.64238411	2875.22680412	3163.9044586	2713.73622047	2848.79151943	2802.00934579	2245.44	2432.02491103
alpha_rarefaction_13606_3.txt	13606	3	3384.9550173	2431.44541485	2988.45555556	2590.56273764	2665.70588235	2822.07142857	2603.94642857	2469.74349442	2625.12	2984.82012195	2833.47222222	2884.68037975	2674.75789474	2868.25	2651.02439024	2383.07608696	3000.18983051	2533.64620939	2826.10759494	3251.57097792	2697.17460317	2843.12371134	2741.47297297	2995.35483871	2376.92929293	2655.04113924	2725.64166667	2428.7125	2359.66171004
alpha_rarefaction_13606_4.txt	13606	4	3060.2384106	2398.75	2908.11960133	2648.93726937	2758.0	2712.72727273	2491.86813187	2536.79237288	2470.28571429	3023.55192878	2850.34246575	2780.05333333	2600.07241379	2959.18518519	2586.54285714	2250.1	2656.00274725	2380.60638298	2885.2	2984.59162304	2813.17973856	3021.75347222	2772.84493671	3240.96091205	2440.82372881	2736.66782007	2682.73469388	2485.88837209	2420.0866426
alpha_rarefaction_13606_5.txt	13606	5	3251.80122324	2414.06225681	2767.68965517	2484.98884758	2721.18243243	2703.690625	2555.38321168	2391.06302521	2603.18478261	2959.25	2849.25	2770.65263158	2881.0	2989.23174603	2572.57718121	2280.825	2764.80511182	2458.63241107	2861.05722892	3066.25872093	2786.28378378	2766.29934211	2647.63157895	2955.4351585	2552.72183099	2788.7833935	2791.44680851	2247.64642857	2421.90405904
alpha_rarefaction_13606_6.txt	13606	6	3082.32081911	2457.67315175	2923.34875445	2756.05511811	2864.33974359	2682.11688312	2416.12857143	2488.46511628	2384.9261745	2895.68975069	2752.17460317	2774.66101695	2694.48708487	2961.68686869	2721.62	2286.40697674	2838.14018692	2464.30566038	3038.86970684	3151.89850746	2771.73571429	2810.37620579	2725.16494845	3020.49847095	2559.12068966	2792.31617647	2586.04285714	2504.65882353	2469.83703704
alpha_rarefaction_13606_7.txt	13606	7	3020.72727273	2366.74347826	2962.45756458	2604.28888889	2688.92307692	2756.66101695	2495.79151943	2507.44534413	2523.39100346	2871.53125	2680.29836066	2822.73089701	2639.07692308	2941.86688312	2581.85416667	2318.44483986	2745.87735849	2540.55725191	2794.25732899	3213.83988764	2757.23076923	2751.34210526	2618.7628866	3179.15841584	2442.38338658	2745.12080537	2725.83102493	2536.50980392	2363.22996516
alpha_rarefaction_13606_8.txt	13606	8	2962.48948949	2565.0952381	2715.48589342	2669.2	2581.92073171	3164.74204947	2567.18181818	2526.44537815	2377.0	2788.28808864	2952.26666667	2795.47636364	2756.92957746	3014.78547855	2650.7366548	2407.48496241	2808.09836066	2404.93706294	2828.16566265	3066.12857143	2741.74750831	2817.95439739	2702.24921136	3003.21019108	2567.05839416	2697.68092105	2968.40594059	2321.0952381	2203.80821918
alpha_rarefaction_13606_9.txt	13606	9	3052.82758621	2311.9561753	2772.82295082	2624.57971014	2654.84466019	2910.43911439	2534.42205323	2445.11965812	2687.83908046	3054.02839117	2683.0	2700.49006623	2656.80208333	2974.06666667	2653.52159468	2353.02352941	2783.27848101	2575.38167939	2748.29166667	3194.52923977	2707.1341853	2841.68100358	2787.25367647	3050.60869565	2464.09608541	2795.38754325	2792.26315789	2455.63218391	2305.47719298
